date,Battery (Charging) -  MW,Battery (Discharging) -  MW,Bioenergy (Biomass) -  MW,Bioenergy (Biomass) Emissions Vol - tCO₂e,Coal (Black) -  MW,Coal (Black) Emissions Vol - tCO₂e,Coal (Brown) -  MW,Coal (Brown) Emissions Vol - tCO₂e,Distillate -  MW,Distillate Emissions Vol - tCO₂e,Gas (CCGT) -  MW,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) -  MW,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) -  MW,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Steam) -  MW,Gas (Steam) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) -  MW,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Hydro -  MW,Pumps -  MW,Solar (Rooftop) -  MW,Solar (Utility) -  MW,Wind -  MW,Price - AUD/MWh,Wind (Curtailment) -  MW,Solar (Utility) (Curtailment) -  MW,Emissions Intensity - kgCO₂e/MWh
2026-06-08 18:10:00,-19.78,3300.91,61.37,0.13,11355.89,848.97,4673.88,463.5,0.5,0.04,1231.26,43.79,292.55,13.9,173.07,8.52,0.0,0.0,43.77,2.25,3081.78,0.0,0.0,-0.22,3981.32,86.92,0.0,0.0,588.19
2026-06-08 18:15:00,-2.22,3318.81,60.22,0.13,11350.51,849.05,4709.47,466.05,0.5,0.04,1240.75,43.97,294.25,13.95,174.81,8.55,0.0,0.0,43.88,2.25,3125.68,0.0,0.0,-0.24,3985.79,89.49,0.0,0.0,586.8
2026-06-08 18:20:00,-6.52,3359.07,60.22,0.13,11325.35,847.83,4681.94,466.41,0.5,0.04,1234.17,44.02,339.38,15.18,174.76,8.59,0.0,0.0,44.02,2.25,3108.4,0.0,0.0,-0.23,3965.29,95.91,28.7,0.0,587.33
2026-06-08 18:25:00,-15.18,3236.47,59.71,0.13,11336.49,847.47,4663.13,464.13,0.5,0.04,1232.95,43.88,366.52,17.09,173.34,8.55,0.0,0.0,44.07,2.26,3092.26,0.0,0.0,-0.2,3991.53,94.19,45.37,0.0,589.13
2026-06-08 18:30:00,-4.17,3053.13,59.66,0.13,11336.16,847.95,4689.38,464.52,0.5,0.04,1235.41,43.9,412.41,19.01,174.24,8.54,0.0,0.0,44.38,2.26,3096.37,0.0,0.0,-0.21,4036.48,84.3,0.0,0.0,591.33
2026-06-08 18:35:00,-3.63,3067.91,60.85,0.13,11279.93,845.66,4700.72,466.37,0.5,0.04,1240.52,44.05,418.55,20.38,175.51,8.59,0.0,0.0,44.38,2.27,3072.44,0.0,0.0,-0.21,4066.57,90.26,38.81,0.0,592.02
2026-06-08 18:40:00,-3.09,2912.85,58.95,0.13,11372.85,847.02,4697.81,466.76,0.5,0.04,1240.1,44.13,418.33,20.54,175.19,8.62,0.0,0.0,44.25,2.27,3105.14,0.0,0.0,-0.21,4071.88,95.1,21.46,0.0,593.5
2026-06-08 18:45:00,-4.0,2848.34,60.17,0.13,11375.16,850.75,4697.72,466.6,0.5,0.04,1238.66,44.08,417.59,20.51,174.38,8.59,0.0,0.0,44.25,2.26,3103.29,0.0,0.0,-0.21,4121.48,95.2,0.0,0.0,595.34
2026-06-08 18:50:00,-6.49,2731.13,60.47,0.13,11390.11,851.38,4686.41,466.08,0.5,0.04,1234.01,43.98,415.81,20.46,174.85,8.58,0.0,0.0,44.11,2.26,3085.64,0.0,0.0,-0.2,4193.95,83.67,0.0,0.0,596.74
2026-06-08 18:55:00,-9.07,2807.16,60.21,0.13,11345.54,850.07,4688.56,465.63,0.5,0.04,1189.18,43.2,389.53,19.69,174.15,8.58,0.0,0.0,44.22,2.26,2978.64,0.0,0.0,-0.19,4248.45,83.52,0.0,0.0,597.32
2026-06-08 19:00:00,-3.28,2768.82,59.29,0.13,11357.01,848.64,4710.28,466.77,0.5,0.04,1158.13,42.04,420.09,19.82,175.48,8.59,0.0,0.0,44.24,2.27,2961.76,0.0,0.0,-0.21,4340.46,93.96,0.0,0.0,595.14
2026-06-08 19:05:00,-7.77,2397.79,58.78,0.13,11386.8,850.34,4692.97,466.98,0.5,0.04,1200.59,42.2,417.16,20.55,174.46,8.6,0.0,0.0,44.39,2.27,3065.05,0.0,0.0,-0.19,4418.92,85.22,0.0,0.0,599.41
