Name,FuelSubType,FuelType,Owner,YearCommissioning,Capacity,Status,Long,Lat,FuelCategory,LGA,Source,Region
Barcaldine Gas Station,Gas,Gas,Ergon Energy Queensland,1996,37,Operating ,145.28,-23.55,Fossil,Barcaldine,"AEMO, Department of Energy and Water Supply",Central 
Braemar,Gas,Gas,Braemar Power Project Pty Ltd,2006,564,Operating ,150.9077,-27.1099,Fossil,Western Downs,"AEMO, Department of Energy and Water Supply",Darling Downs and South West
Braemar 2,Gas,Gas,Arrow Energy,2009,519,Operating ,150.9035,-27.1146,Fossil,Western Downs,"AEMO, Department of Energy and Water Supply",Darling Downs and South West
Callide B,Coal ,Coal,CS Energy,1988,700,Operating ,150.6139,-24.3542,Fossil,Banana,"AEMO, Department of Energy and Water Supply",Central 
Callide C,Coal ,Coal,Genuity/CS Energy,2001,844,Operating ,150.6266,-24.35,Fossil,Banana,"AEMO, Department of Energy and Water Supply",Central 
Condamine,Gas,Gas,Queensland Gas Company,2009,144,Operating ,150.61,-26.77,Fossil,Western Downs,"AEMO, Department of Energy and Water Supply",Darling Downs and South West
Darling Downs,Gas,Gas,Origin Energy Limited,2010,644,Operating ,150.8964,-27.1166,Fossil,Western Downs,"AEMO, Department of Energy and Water Supply",Darling Downs and South West
Diamantina,Gas,Gas,APA Group,2014,242,Operating ,139.4831374,-20.7839529,Fossil,Mount Isa,https://www.apa.com.au/operations-and-projects/gas/gas-fired-power-generation/diamantina-power-station-dps,North
German Creek,Waste Coal Mine Gas,Other,Energy Developments Limited,2006,45,Operating ,148.5424,-22.9001,Fossil,Isaac,"AEMO, Department of Energy and Water Supply","Mackay, Isaac, Whitsunday"
Gladstone,Coal ,Coal,NRG Gladstone Operating Services,1976,1680,Operating ,151.2194,-23.8508,Fossil,Gladstone,"AEMO, Department of Energy and Water Supply",Central 
Kogan Creek,Coal ,Coal,CS Energy,2007,744,Operating ,150.7492,-26.9164,Fossil,Western Downs,"AEMO, Department of Energy and Water Supply",Darling Downs and South West
Leichhardt,Gas,Gas,APA Group,2014,60,Operating ,139.4864475,-20.7834442,Fossil,Mount Isa,https://www.apa.com.au/operations-and-projects/gas/gas-fired-power-generation/diamantina-power-station-dps,North
Millmerran,Coal ,Coal,Millmerran Operating Co,2003,852,Operating ,151.27,-27.88,Fossil,Toowoomba,"AEMO, Department of Energy and Water Supply",Darling Downs and South West
Moranbah North,Waste Coal Mine Gas,Other,Energy Developments Limited,2008,63.8,Operating ,148.0051,-21.9792,Fossil,Isaac,"AEMO, Department of Energy and Water Supply","Mackay, Isaac, Whitsunday"
Mt Stuart,Gas/kerosene,Other,Origin Energy Limited,1999,423.5,Operating ,146.8501,-19.3398,Fossil,Townsville,"AEMO, Department of Energy and Water Supply",North
Oakey,Gas,Gas,ERM Power,2000,346,Operating ,151.6816,-27.422,Fossil,Toowoomba,"AEMO, Department of Energy and Water Supply",Darling Downs and South West
Oaky Creek 1,Waste Coal Mine Gas,Gas,Energy Developments Ltd,2006,20,Operating,148.5560277,-23.0497646,Fossil,Central Highlands,https://edlenergy.com/project/oaky-creek/,Central 
Oaky Creek 2,Waste Coal Mine Gas,Gas,Energy Developments Ltd,2016,15,Operating,148.5563588,-23.0505829,Fossil,Central Highlands,https://edlenergy.com/project/oaky-creek-2/,Central 
Roma,Gas,Gas,Origin Energy Limited,1999,80,Operating ,148.78,-26.58,Fossil,Maranoa,"AEMO, Department of Energy and Water Supply",Darling Downs and South West
Stanwell,Coal,Coal,Stanwell Corporation,1993,1460,Operating ,150.315,-23.5095,Fossil,Rockhampton,"AEMO, Department of Energy and Water Supply",Central 
Tarong,Coal,Coal,Stanwell Corporation,1986,1400,Operating ,151.9141,-26.7865,Fossil,South Burnett,"AEMO, Department of Energy and Water Supply",Wide Bay Burnett
Tarong North,Coal,Coal,Stanwell Corporation,2003,450,Operating ,151.93,-26.69,Fossil,South Burnett,"AEMO, Department of Energy and Water Supply",Wide Bay Burnett
Thomson,Gas,Gas,APA Group,2021,24,Operating ,139.4862925,-20.7843801,Fossil,Mount Isa,https://www.apa.com.au/operations-and-projects/gas/gas-fired-power-generation/diamantina-power-station-dps,North
Thursday Island,Diesel,Other,Ergon Energy Queensland,Unknown,9.55,Operating ,142.2206,-10.585,Fossil,Torres,https://www.ergon.com.au/network/network-management/network-infrastructure/isolated-and-remote-power-stations,Far North
Townsville (Yabula),Gas,Gas,RATCH-Australia Townsville,2004,244,Operating ,146.6018,-19.2159,Fossil,Townsville,"AEMO, Department of Energy and Water Supply",North
Weipa,Diesel,Other,RTA Weipa,1998,36,Operating ,141.8674,-12.6386,Fossil,Weipa Town,Facility services isolated supply,Far North
X41,Gas,Gas,Mount Isa Mines,2007,33,Operating ,139.480302,-20.7438515,Fossil,Mount Isa,https://www.apa.com.au/operations-and-projects/gas/gas-fired-power-generation/x41-power-station,North
Yarwun,Gas,Gas,RTA Yarwun,2010,180,Operating ,151.1289,-23.8456,Fossil,Gladstone,"AEMO, Department of Energy and Water Supply",Central 
Swanbank E,Gas,Gas,CleanCo,2002,385,Operating ,152.8109,-27.654,Fossil,Ipswich,"AEMO, Department of Energy and Water Supply",South East
Bargara Battery,Storage,Battery storage,EQL,2023,4,Operating ,152.4454,-24.86649,Storage,Bundaberg,"EQL, Local Network Battery Plan, Stage 1",Wide Bay Burnett
Black River Battery,Storage,Battery storage,EQL,2023,4,Operating ,146.6529,-19.23246,Storage,Townsville,"EQL, Local Network Battery Plan, Stage 1",North
Kleinton Battery,Storage,Battery storage,EQL,2023,4,Operating ,151.9341,-27.43178,Storage,Toowoomba,"EQL, Local Network Battery Plan, Stage 1",Darling Downs and South West
Tanby Battery,Storage,Battery storage,EQL,2024,4,Operating ,150.73609,-23.22364,Storage,Livingstone,"EQL, Local Network Battery Plan, Stage 1",Central
Torquay Battery,Storage,Battery storage,EQL,2024,4,Operating ,152.87692,-25.29376,Storage,Fraser Coast,"EQL, Local Network Battery Plan, Stage 1",Wide Bay Burnett
Mundubbera Battery,Storage,Battery storage,EQL,2024,4,Operating ,151.31216,-25.57673,Storage,North Burnett,"EQL, Local Network Battery Plan, Stage 2",Wide Bay Burnett
Rasmussen Battery,Storage,Battery storage,EQL,2024,4,Operating ,146.72013,-19.36372,Storage,Townsville,"EQL, Local Network Battery Plan, Stage 2",North
Gladstone South Battery,Storage,Battery storage,EQL,2024,4,Operating ,151.274411,-23.88472,Storage,Gladstone,"EQL, Local Network Battery Plan, Stage 2",Central
Torrington Battery,Storage,Battery storage,EQL,2024,4,Operating ,151.90022,-27.55635,Storage,Toowoomba,"EQL, Local Network Battery Plan, Stage 2",Darling Downs and South West
Marian South Battery,Storage,Battery storage,EQL,2024,4,Operating ,148.9426955,-21.15186,Storage,Mackay,"EQL, Local Network Battery Plan, Stage 2","Mackay, Isaac, Whitsunday"
Raby Bay Battery,Storage,Battery storage,EQL,2024,4,Operating ,153.25788,-27.52252,Storage,Redland,"EQL, Local Network Battery Plan, Stage 2",South East
Howard Battery,Storage,Battery storage,EQL,2024,4,Operating ,152.57545,-25.32239,Storage,Fraser Coast,"EQL, Local Network Battery Plan, Stage 2",Wide Bay Burnett
Kewarra Battery,Storage,Battery storage,EQL,2024,4,Operating ,145.67368,-16.78539,Storage,Cairns,"EQL, Local Network Battery Plan, Stage 2",Far North
Gordonvale Battery,Storage,Battery storage,EQL,2024,4,Operating ,145.78539,-17.08458,Storage,Cairns,"EQL, Local Network Battery Plan, Stage 2",Far North
Emerald Battery,Storage,Battery storage,EQL,2024,4,Operating ,148.14782,-23.53282,Storage,Central Highlands,"EQL, Local Network Battery Plan, Stage 2",Central
Morayfield Battery,Storage,Battery storage,EQL,2024,4,Operating ,152.95933,-27.13357,Storage,Moreton Bay,"EQL, Local Network Battery Plan, Stage 2",South East
Bribie Island Battery,Storage,Battery storage,EQL,2024,4,Operating ,153.15407,-27.06333,Storage,Moreton Bay,"EQL, Local Network Battery Plan, Stage 2",South East
Bohle Plains Battery,Storage,Battery storage,EQL,2023,4,Operating ,146.69271,-19.29884,Storage,Townsville,"EQL, Local Network Battery Plan, Trial",North
Agnes Water Battery,Storage,Battery storage,EQL,2025,4,Under construction,151.8971018,-24.2249173,Storage,Gladstone,"EQL, Local Network Battery Plan, Stage 3",Central
Clinton Battery,Storage,Battery storage,EQL,2025,4,Under construction,151.2250887,-23.8588626,Storage,Gladstone,"EQL, Local Network Battery Plan, Stage 3",Central
Cornubia Battery,Storage,Battery storage,EQL,2025,4,Under construction,153.214442,-27.6636628,Storage,Logan,"EQL, Local Network Battery Plan, Stage 3",South East
Glenella Battery,Storage,Battery storage,EQL,2025,4,Under construction,149.1401271,-21.1078584,Storage,Mackay,"EQL, Local Network Battery Plan, Stage 3","Mackay, Isaac, Whitsunday"
Hollywell Battery,Storage,Battery storage,EQL,2025,4,Under construction,153.3882306,-27.9063862,Storage,Gold Coast,"EQL, Local Network Battery Plan, Stage 3",South East
Jimboomba Battery,Storage,Battery storage,EQL,2025,4,Under construction,153.0444791,-27.8089231,Storage,Logan,"EQL, Local Network Battery Plan, Stage 3",South East
Kearneys Spring Battery,Storage,Battery storage,EQL,2025,4,Under construction,151.9374645,-27.6135043,Storage,Toowoomba,"EQL, Local Network Battery Plan, Stage 3",Darling Downs and South West
